Date,Year,Month,Day,Week, C5_Sale ,C5_Bills, Himbutana_Sale,Himbutana_Bills, C7_Sale ,C7_Bills, Makola_Sale ,Makola_Bills,Nursery_Sale,Nursery_Bills
1/1/2024,2024,1,1,1,"23,430.00",9,"17,440.00",5,"14,885.00",6,475.00,2, -   ,0
1/2/2024,2024,1,2,1,"6,420.00",5,"21,275.00",7,"20,030.00",4,"4,580.00",6, -   ,0
1/3/2024,2024,1,3,1,"8,605.00",6,"17,630.00",8,"5,450.00",3, -   ,0, -   ,0
1/4/2024,2024,1,4,1,"11,300.00",9,"4,850.00",5,"25,950.00",7,"1,825.00",6, -   ,0
1/5/2024,2024,1,5,1,"20,810.00",6,"49,850.00",9,"59,495.00",10,"4,995.00",10,"8,500.00",1
1/6/2024,2024,1,6,1,"32,880.00",19,"78,125.00",10,"91,020.00",11,"3,350.00",4, -   ,0
1/7/2024,2024,1,7,1,"47,480.00",17,"46,970.00",14,"80,665.00",12,"2,795.00",8, -   ,0
1/8/2024,2024,1,8,2,"33,810.00",15,"35,080.00",9,"46,800.00",4,"3,320.00",7, -   ,0
1/9/2024,2024,1,9,2,"4,815.00",9,"68,155.00",13,"10,450.00",3,"2,600.00",7,"19,850.00",4
1/10/2024,2024,1,10,2,"5,790.00",5,"29,390.00",9,"5,760.00",2, -   ,0,"4,030.00",3
1/11/2024,2024,1,11,2,"23,949.50",13,"28,450.00",8,"6,500.00",1,"54,515.00",14,240.00,1
1/12/2024,2024,1,12,2,"16,220.00",8,"3,240.00",5,"11,330.00",5,"5,425.00",9,"11,150.00",2
1/13/2024,2024,1,13,2,"10,675.00",10,"3,900.00",6,"52,850.00",11,"4,095.00",4,400.00,1
1/14/2024,2024,1,14,2,"38,090.00",15,"47,774.00",16,"18,760.00",3,"4,625.00",7, -   ,0
1/15/2024,2024,1,15,3,"48,220.00",8,"3,705.00",6,"7,540.00",4, -   ,0, -   ,0
1/16/2024,2024,1,16,3,"7,310.00",7,"20,705.00",8, -   ,0,"12,378.00",5,700.00,1
1/17/2024,2024,1,17,3,"2,140.00",8,"39,834.00",12,"3,625.00",4, -   ,0,150.00,1
1/18/2024,2024,1,18,3,"10,375.00",10,"22,839.00",9,"29,500.00",7,"2,135.00",5,300.00,1
1/19/2024,2024,1,19,3,"12,929.00",13,"79,673.00",7,"9,790.00",6,"2,675.00",7, -   ,0
1/20/2024,2024,1,20,3,"24,304.00",20,"15,180.00",8,"47,105.00",8,"7,700.00",9,"8,660.00",2
