Date,Year,Month,Day,Week,IS_Weekend,IS_Holiday, C5 , Himbutana , C7 , Makola ,Nurseries,Online,Havelock City,Hunters,Total
1/1/2024,2024,1,1,1,0,0,"23,430.00","17,440.00","14,885.00",475, -   , -   , -   , -   ,"56,230.00"
1/2/2024,2024,1,2,1,0,0,"6,420.00","21,275.00","20,030.00","4,580.00", -   , -   , -   , -   ,"52,305.00"
1/3/2024,2024,1,3,1,0,0,"8,605.00","17,630.00","5,450.00", -   , -   , -   , -   , -   ,"31,685.00"
1/4/2024,2024,1,4,1,0,0,"11,300.00","4,850.00","25,950.00","1,825.00", -   , -   , -   , -   ,"43,925.00"
1/5/2024,2024,1,5,1,0,0,"20,810.00","49,850.00","59,495.00","4,995.00","8,500.00", -   , -   , -   ,"143,650.00"
1/6/2024,2024,1,6,1,1,0,"32,880.00","78,125.00","91,020.00","3,350.00", -   , -   , -   , -   ,"205,375.00"
1/7/2024,2024,1,7,1,1,0,"47,480.00","46,970.00","80,665.00","2,795.00", -   , -   , -   , -   ,"177,910.00"
1/8/2024,2024,1,8,2,0,0,"33,810.00","35,080.00","46,800.00","3,320.00", -   , -   , -   , -   ,"119,010.00"
1/9/2024,2024,1,9,2,0,0,"4,815.00","68,155.00","10,450.00","2,600.00","19,850.00", -   , -   , -   ,"105,870.00"
1/10/2024,2024,1,10,2,0,0,"5,790.00","29,390.00","5,760.00", -   ,"4,030.00", -   , -   , -   ,"44,970.00"
1/11/2024,2024,1,11,2,0,0,"23,949.50","28,450.00","6,500.00","54,515.00",240, -   , -   , -   ,"113,654.50"
1/12/2024,2024,1,12,2,0,0,"16,220.00","3,240.00","11,330.00","5,425.00","11,150.00", -   , -   , -   ,"47,365.00"
1/13/2024,2024,1,13,2,1,0,"10,675.00","3,900.00","52,850.00","4,095.00",400, -   , -   , -   ,"71,920.00"
1/14/2024,2024,1,14,2,1,0,"38,090.00","47,774.00","18,760.00","4,625.00", -   ,"3,935.00", -   , -   ,"109,249.00"
1/15/2024,2024,1,15,3,0,1,"48,220.00","3,705.00","7,540.00", -   , -   , -   , -   , -   ,"59,465.00"
1/16/2024,2024,1,16,3,0,0,"7,310.00","20,705.00", -   ,"12,378.00",700, -   , -   , -   ,"41,093.00"
1/17/2024,2024,1,17,3,0,0,"2,140.00","39,834.00","3,625.00", -   ,150, -   , -   , -   ,"45,749.00"
1/18/2024,2024,1,18,3,0,0,"10,375.00","22,839.00","29,500.00","2,135.00",300,"5,330.00", -   , -   ,"65,149.00"
1/19/2024,2024,1,19,3,0,0,"12,929.00","79,673.00","9,790.00","2,675.00", -   , -   , -   , -   ,"105,067.00"
1/20/2024,2024,1,20,3,1,0,"24,304.00","15,180.00","47,105.00","7,700.00","8,660.00", -   , -   , -   ,"102,949.00"
1/21/2024,2024,1,21,3,1,0,"13,830.00","34,705.00","8,800.00","5,705.00", -   ,787.5, -   , -   ,"63,040.00"
1/22/2024,2024,1,22,4,0,0,"18,860.00","39,590.00",510,"8,105.00", -   , -   , -   , -   ,"67,065.00"
1/23/2024,2024,1,23,4,0,0,"12,410.00","39,050.00","29,730.00","83,240.00","9,756.00", -   , -   , -   ,"174,186.00"
1/24/2024,2024,1,24,4,0,0,"10,735.00","32,720.00","20,385.00","3,100.00","4,380.00","3,650.00", -   , -   ,"71,320.00"
1/25/2024,2024,1,25,4,0,1,"1,580.00","17,170.00","34,135.00", -   , -   ,"12,100.00", -   , -   ,"52,885.00"
1/26/2024,2024,1,26,4,0,0,"13,975.00","22,940.00","6,940.00","3,040.00", -   , -   , -   , -   ,"46,895.00"
